flow_name,cell_name,violation,comment,f_count,h_count,working_directory,input_lib_path,date 
NA,fdkex,LDI_500,LDI_500: Min Intermediate Metal 0 density (%) relative to actual global Metal 0 density  within a 70um x 70um window size. < 90.0,NA,96,/nfs/ch/disks/icf_fdk_regression001/nightly_adf_kit_build_regr/builds_regr/nightly/1273/dot3/synopsys/2015-03-31/runs/d04/fdkex_SCAN/drc_lvs/denall_reuse/fdkex.LAYOUT_ERRORS,../../apr/outputs/fdkex.apr.oas,15WW14.2 
NA,fdkex,LDI_501,LDI_501: Min Intermediate Metal 1 density (%) relative to actual global Metal 1 density  within a 70um x 70um window size. < 90.0,NA,96,/nfs/ch/disks/icf_fdk_regression001/nightly_adf_kit_build_regr/builds_regr/nightly/1273/dot3/synopsys/2015-03-31/runs/d04/fdkex_SCAN/drc_lvs/denall_reuse/fdkex.LAYOUT_ERRORS,../../apr/outputs/fdkex.apr.oas,15WW14.2 
NA,fdkex,LDI_502,LDI_502: Min Intermediate Metal 2 density (%) relative to actual global Metal 2 density  within a 70um x 70um window size. < 90.0,NA,96,/nfs/ch/disks/icf_fdk_regression001/nightly_adf_kit_build_regr/builds_regr/nightly/1273/dot3/synopsys/2015-03-31/runs/d04/fdkex_SCAN/drc_lvs/denall_reuse/fdkex.LAYOUT_ERRORS,../../apr/outputs/fdkex.apr.oas,15WW14.2 
NA,fdkex,LDI_503,LDI_503: Min Intermediate Metal 3 density (%) relative to actual global Metal 3 density  within a 70um x 70um window size. < 90.0,NA,96,/nfs/ch/disks/icf_fdk_regression001/nightly_adf_kit_build_regr/builds_regr/nightly/1273/dot3/synopsys/2015-03-31/runs/d04/fdkex_SCAN/drc_lvs/denall_reuse/fdkex.LAYOUT_ERRORS,../../apr/outputs/fdkex.apr.oas,15WW14.2 
NA,fdkex,LDI_504,LDI_504: Min Intermediate Metal 4 density (%) relative to actual global Metal 4 density  within a 70um x 70um window size. < 90.0,NA,96,/nfs/ch/disks/icf_fdk_regression001/nightly_adf_kit_build_regr/builds_regr/nightly/1273/dot3/synopsys/2015-03-31/runs/d04/fdkex_SCAN/drc_lvs/denall_reuse/fdkex.LAYOUT_ERRORS,../../apr/outputs/fdkex.apr.oas,15WW14.2 
NA,fdkex,LDI_505,LDI_505: Min Intermediate Metal 5 density (%) relative to actual global Metal 5 density  within a 70um x 70um window size. < 90.0,NA,96,/nfs/ch/disks/icf_fdk_regression001/nightly_adf_kit_build_regr/builds_regr/nightly/1273/dot3/synopsys/2015-03-31/runs/d04/fdkex_SCAN/drc_lvs/denall_reuse/fdkex.LAYOUT_ERRORS,../../apr/outputs/fdkex.apr.oas,15WW14.2 
NA,fdkex,LDI_506,LDI_506: Min Intermediate Metal 6 density (%) relative to actual global Metal 6 density  within a 84um x 84um window size. < 90.0,NA,63,/nfs/ch/disks/icf_fdk_regression001/nightly_adf_kit_build_regr/builds_regr/nightly/1273/dot3/synopsys/2015-03-31/runs/d04/fdkex_SCAN/drc_lvs/denall_reuse/fdkex.LAYOUT_ERRORS,../../apr/outputs/fdkex.apr.oas,15WW14.2 
NA,fdkex,LD_506,LD_506: Min required local Via6 density (%)  within a 3.9um x 3.9um window size < 0.2,NA,24,/nfs/ch/disks/icf_fdk_regression001/nightly_adf_kit_build_regr/builds_regr/nightly/1273/dot3/synopsys/2015-03-31/runs/d04/fdkex_SCAN/drc_lvs/denall_reuse/fdkex.LAYOUT_ERRORS,../../apr/outputs/fdkex.apr.oas,15WW14.2 
NA,fdkex,LD_507,LD_507: Min required local Via7 density (%)  within a 6.7um x 6.7um window size < 0.3,NA,89,/nfs/ch/disks/icf_fdk_regression001/nightly_adf_kit_build_regr/builds_regr/nightly/1273/dot3/synopsys/2015-03-31/runs/d04/fdkex_SCAN/drc_lvs/denall_reuse/fdkex.LAYOUT_ERRORS,../../apr/outputs/fdkex.apr.oas,15WW14.2 
NA,fdkex,NODATA_ce1,NODATA_ce1: Layer is empty 0.0,NA,1,/nfs/ch/disks/icf_fdk_regression001/nightly_adf_kit_build_regr/builds_regr/nightly/1273/dot3/synopsys/2015-03-31/runs/d04/fdkex_SCAN/drc_lvs/denall_reuse/fdkex.LAYOUT_ERRORS,../../apr/outputs/fdkex.apr.oas,15WW14.2 
NA,fdkex,NODATA_ce2,NODATA_ce2: Layer is empty 0.0,NA,1,/nfs/ch/disks/icf_fdk_regression001/nightly_adf_kit_build_regr/builds_regr/nightly/1273/dot3/synopsys/2015-03-31/runs/d04/fdkex_SCAN/drc_lvs/denall_reuse/fdkex.LAYOUT_ERRORS,../../apr/outputs/fdkex.apr.oas,15WW14.2 
NA,fdkex,NODATA_tm1,NODATA_tm1: Layer is empty 0.0,NA,1,/nfs/ch/disks/icf_fdk_regression001/nightly_adf_kit_build_regr/builds_regr/nightly/1273/dot3/synopsys/2015-03-31/runs/d04/fdkex_SCAN/drc_lvs/denall_reuse/fdkex.LAYOUT_ERRORS,../../apr/outputs/fdkex.apr.oas,15WW14.2 
NA,fdkex,NODATA_v9,NODATA_v9: Layer is empty 0.0,NA,1,/nfs/ch/disks/icf_fdk_regression001/nightly_adf_kit_build_regr/builds_regr/nightly/1273/dot3/synopsys/2015-03-31/runs/d04/fdkex_SCAN/drc_lvs/denall_reuse/fdkex.LAYOUT_ERRORS,../../apr/outputs/fdkex.apr.oas,15WW14.2 
